SEQENCE ID                     TM SP PREDICTION
P0A3R0                          0  0 o
P0A4Q0                          5  Y n4-15c27/28o51-74i81-100o112-135i142-163o169-185i
Q59947                          2  Y n19-30c42/43o107-125i134-154o
Q8CWM9                          0  0 o
Q8CY87                          0  0 o
Q8CYJ8                          1  0 i188-208o
Q8DMY4                          0  Y n5-16c27/28o
Q8DN88                          0  Y n22-34c42/43o
Q8DNB6                          1  0 i57-77o
Q8DNS0                          1  0 i345-363o
Q8DNZ8                          0  0 o
Q8DNZ9                          0  0 o
Q8DP63                          1  0 i16-38o
Q8DPI6                          0  Y n3-10c14/15o
Q8DPL8                          1  0 o14-32i
Q8DPQ3                          0  0 o
Q8DQ15                          0  0 o
Q8DQ36                          0  0 o
Q8DQG4                          0  0 o
Q8DR55                          1  0 i159-180o
Q8DR59                          1  0 i12-36o
Q8DR60                          1  Y n19-30c38/39o1745-1762i
P0A307                          1  Y n3-13c18/19o42-65i
P0A3C4                          0  0 o
P0A3M6                          1  0 i12-33o
P0A3N0                          0  0 o
P0A452                          0  0 o
P0A4D8                          0  0 o
P59652                          2  0 i12-30o133-152i
P59655                          0  0 o
P59657                          0  0 o
P59676                          1  0 i29-48o
P63734                          0  0 o
P64311                          0  0 o
P65240                          0  0 o
P65242                          0  0 i
P65444                          0  0 o
Q8CWN2                          0  Y n4-15c19/20o
Q8CWP9                          0  0 o
Q8CWQ5                          0  0 o
Q8CWR0                          0  0 o
Q8DMY2                          0  Y n10-20c25/26o
Q8DN59                          0  0 o
Q8DNE6                          0  0 o
Q8DPA2                          0  0 o
Q8DPI7                          0  0 o
Q8DPJ8                          0  0 o
Q8DPL7                          0  0 o
Q8DPR6                          0  0 o
Q8DQ00                          0  0 o
Q8DQ18                          0  0 o
Q8DQ33                          0  0 o
Q8DQ37                          0  0 o
Q8DQ92                          0  0 o
Q8DQD0                          0  0 o
Q8DQG7                          0  0 o
Q8DQN5                          2  Y n14-25c33/34o80-98i105-123o
Q8DQV8                          0  0 o
Q8DQY0                          0  Y n6-17c22/23o
Q8DR03                          0  0 o
Q8DR26                          0  0 o
Q8DR77                          0  0 o
Q8DRA8                          0  0 o
Q8DRF1                          0  0 o
Q8DRN3                          0  0 o
C0HMA8                          1  0 i12-35o
P0A2U9                          0  0 o
P0A2V9                          0  0 o
P0A2W1                          0  0 o
P0A2W7                          0  0 o
P0A2W9                          0  0 o
P0A2X4                          0  0 o
P0A2Y7                          0  0 o
P0A2Y9                          5  0 o14-37i76-95o115-134i171-193o205-229i
P0A2Z3                          1  0 o6-26i
P0A2Z5                          0  0 o
P0A336                          0  0 o
P0A399                          2  0 o206-226i233-252o
P0A3C6                          0  0 o
P0A3R4                          0  0 o
P0A3S4                          0  Y n8-18c22/23o
P0A3Y4                          0  0 o
P0A454                          0  0 o
P0A456                          0  0 o
P0A4A8                          0  0 o
P0A4H8                          0  0 o
P0A4I6                          2  0 o16-36i183-203o
P0A4J0                          0  0 o
P0A4J7                          0  0 o
P0A4M0                          0  0 o
P0A4M6                          0  0 o
P0A4S2                          0  0 o
P0A4S4                          0  0 o
P0A4T0                          0  0 o
P0A4T2                          0  0 o
P59200                          0  0 o
P59202                          0  0 o
P59206                          0  Y n6-16c23/24o
P59214                          0  Y n10-22c26/27o
P59653                          5  0 i167-189o201-218i278-301o307-326i397-415o
P59656                          0  0 o
P59659                          0  0 o
P59660                          0  0 o
P59662                          0  Y n12-23c28/29o
P60935                          7  0 o45-67i88-105o111-133i154-175o195-216i228-249o261-280i
P62576                          2  0 i32-53o1013-1030i
P63374                          0  0 o
P63385                          0  0 o
P63414                          0  0 o
P63545                          0  0 o
P63589                          0  0 o
P63596                          0  0 o
P63641                          0  0 o
P63668                          0  0 o
P63743                          0  0 o
P63788                          0  0 o
P63792                          0  0 o
P63896                          0  0 o
P64031                          0  0 o
P64063                          0  0 o
P64167                          5  0 i28-49o55-77i89-107o127-147i159-179o
P64298                          0  0 o
P65160                          0  0 o
P65335                          0  0 o
P65467                          0  0 o
P65509                          0  0 o
P65537                          0  0 o
P65679                          0  0 o
P65780                          0  0 o
P65888                          0  0 o
P66041                          0  0 o
P66709                          0  0 o
P66731                          0  0 o
P66836                          0  0 o
P66908                          0  0 o
P66921                          0  0 o
P66943                          0  0 o
P67000                          0  0 o
P67050                          0  0 o
P67283                          0  Y n3-12c17/18o
P67414                          0  0 o
P67507                          0  0 i
P67581                          0  0 o
P67596                          0  0 o
P67685                          0  0 o
Q7CRA4                          1  0 i60-84o
Q7CRB1                          0  0 o
Q7CRB2                          0  0 o
Q7CRB7                          0  0 o
Q7ZAK5                          0  0 o
Q7ZAK7                          0  0 o
Q8CWN0                          0  Y n12-22c30/31o
Q8CWN4                          0  0 o
Q8CWN5                          0  0 o
Q8CWN8                          0  0 o
Q8CWQ1                          0  0 o
Q8CWQ3                          0  0 o
Q8CWQ7                          0  0 o
Q8CWR2                          0  0 o
Q8CWR6                          0  0 o
Q8CWR9                          0  0 o
Q8CWS1                          0  0 o
Q8CWS5                          0  0 o
Q8CWS6                          0  0 o
Q8CWS7                          0  Y n5-15c20/21o
Q8CWT2                          0  0 o
Q8CWT3                          0  0 o
Q8CWT4                          0  0 o
Q8CWU7                          0  0 o
Q8CWW0                          0  0 o
Q8CY84                          1  0 i12-30o
Q8CYC9                          1  Y n28-39c47/48o693-712i
Q8DMX2                          0  0 o
Q8DMX3                          0  0 o
Q8DMX7                          1  0 i111-133o
Q8DMX9                          0  0 o
Q8DMY0                          0  0 o
Q8DMZ2                          0  0 o
Q8DN02                          0  0 o
Q8DN03                          2  0 i12-39o141-163i
Q8DN24                          0  0 o
Q8DN46                          0  0 o
Q8DN52                          0  0 o
Q8DN74                          0  0 o
Q8DN86                          0  0 o
Q8DN89                          0  Y n37-48c56/57o
Q8DN90                          1  0 i32-54o
Q8DN93                          4  Y n9-19c27/28o51-79i133-153o173-191i203-227o
Q8DNA2                          0  0 o
Q8DNC9                          0  0 o
Q8DND3                          0  0 o
Q8DND5                          0  0 o
Q8DNE1                          5  Y n7-20c25/26o58-81i134-157o169-190i211-226o232-252i
Q8DNE8                          0  0 o
Q8DNF0                          0  0 o
Q8DNF1                          0  0 o
Q8DNH7                          0  0 o
Q8DNI6                         10  0 i162-183o209-229i241-264o284-305i317-339o359-377i397-418o430-454i466-489o495-517i
Q8DNK7                          0  0 o
Q8DNL1                          0  0 i
Q8DNP8                          0  0 o
Q8DNR1                          0  0 o
Q8DNR6                          0  0 o
Q8DNR8                          0  0 o
Q8DNR9                          0  0 o
Q8DNT8                          0  0 o
Q8DNV5                          0  0 o
Q8DNV6                          0  0 o
Q8DNV9                          0  0 o
Q8DNW4                          0  0 o
Q8DNX2                          0  0 i
Q8DNX8                          0  0 o
Q8DNY1                          2  0 i20-38o224-254i
Q8DNY9                          0  0 o
Q8DP05                          0  0 o
Q8DP14                          3  0 o18-43i55-76o82-100i
Q8DP16                          0  0 o
Q8DP20                         10  0 i62-80o86-105i253-273o285-312i686-708o714-733i753-779o791-813i833-853o865-887i
Q8DP37                          0  0 o
Q8DP40                          0  Y n12-22c31/32o
Q8DP44                          0  0 o
Q8DP70                          0  0 o
Q8DP71                          0  0 o
Q8DP72                          1  Y n3-8c13/14o71-89i
Q8DP74                          0  0 i
Q8DPA0                          0  0 o
Q8DPA1                          0  0 o
Q8DPA3                          7  0 o12-33i45-68o80-105i112-130o169-187i199-217o229-247i
Q8DPB4                          0  0 o
Q8DPC2                          0  0 o
Q8DPC7                          0  0 o
Q8DPD1                          0  0 o
Q8DPD4                          0  Y n4-11c19/20o
Q8DPE1                          1  0 i12-32o
Q8DPF7                          0  0 o
Q8DPG6                          4  0 i7-25o37-60i67-86o98-119i
Q8DPH1                          0  0 o
Q8DPH9                          0  0 o
Q8DPI2                          0  0 o
Q8DPI3                          0  0 i
Q8DPI9                          0  0 o
Q8DPJ4                          0  0 o
Q8DPJ9                          0  0 o
Q8DPK2                          0  0 o
Q8DPK3                          0  Y n5-12c17/18o
Q8DPK7                          0  0 o
Q8DPL9                          0  0 o
Q8DPM2                          0  0 o
Q8DPM9                          0  0 o
Q8DPN5                          0  0 o
Q8DPP6                          0  0 o
Q8DPQ1                          0  0 o
Q8DPQ5                          0  0 o
Q8DPR3                          0  0 o
Q8DPS0                          0  0 o
Q8DPS5                          0  Y n6-13c18/19o
Q8DPS6                          0  0 o
Q8DPS9                          0  0 o
Q8DPT6                          0  0 o
Q8DPU8                          0  0 o
Q8DPV1                          0  0 o
Q8DPV4                          0  0 o
Q8DPV8                          0  0 o
Q8DPV9                          0  Y n6-16c20/21o
Q8DPW1                          0  0 o
Q8DPW6                         10  0 i12-37o49-65i77-96o102-128i156-173o179-197i204-223o299-320i332-356o368-388i
Q8DPZ0                          0  0 o
Q8DPZ3                          0  0 o
Q8DPZ6                          0  0 o
Q8DPZ8                          0  0 o
Q8DPZ9                          0  0 o
Q8DQ05                          0  0 o
Q8DQ32                          0  0 o
Q8DQ38                          0  0 o
Q8DQ50                          0  0 i
Q8DQ51                          0  0 o
Q8DQ58                          0  0 o
Q8DQ61                          1  0 o44-61i
Q8DQ64                          3  Y n5-15c23/24o62-79i86-105o125-146i
Q8DQ84                          0  0 o
Q8DQ85                          0  0 o
Q8DQ87                          0  0 o
Q8DQ96                          0  0 o
Q8DQ99                          0  Y n4-14c22/23o
Q8DQB3                          0  0 o
Q8DQB4                          0  0 o
Q8DQB5                          0  0 o
Q8DQC3                          0  0 o
Q8DQC4                          0  0 o
Q8DQC5                          0  0 o
Q8DQD1                          0  0 o
Q8DQD2                          0  0 o
Q8DQD3                          0  0 o
Q8DQE9                          0  0 o
Q8DQF1                          0  0 o
Q8DQG9                          0  0 o
Q8DQH0                          0  0 o
Q8DQH1                          0  0 o
Q8DQH3                          4  0 i21-45o182-203i231-257o277-300i
Q8DQH4                          0  0 o
Q8DQI3                          0  0 o
Q8DQJ8                          0  0 o
Q8DQJ9                          0  0 o
Q8DQK4                          0  0 o
Q8DQK5                          0  0 o
Q8DQK6                          0  0 o
Q8DQL5                          0  0 o
Q8DQL6                          0  0 o
Q8DQM1                          0  0 o
Q8DQM2                          0  0 o
Q8DQN1                          0  0 o
Q8DQQ9                          0  0 o
Q8DQR3                          0  0 o
Q8DQS7                          0  0 o
Q8DQS8                          0  0 o
Q8DQT0                          0  0 o
Q8DQT2                          0  0 o
Q8DQT6                          0  0 o
Q8DQT8                          0  0 o
Q8DQU7                          0  0 o
Q8DQV2                          0  0 o
Q8DQX6                          0  0 o
Q8DQX8                          0  0 o
