# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
P0A3R0	OTHER	0.004580	0.995420	
P0A4Q0	OTHER	0.352856	0.647144	
Q59947	OTHER	0.192895	0.807105	
Q8CWM9	OTHER	0.000769	0.999231	
Q8CY87	OTHER	0.001427	0.998573	
Q8CYJ8	OTHER	0.000333	0.999667	
Q8DMY4	SP(Sec/SPI)	0.964700	0.035300	CS pos: 27-28. AHA-ET. Pr: 0.4854
Q8DN88	OTHER	0.002854	0.997146	
Q8DNB6	OTHER	0.001079	0.998921	
Q8DNS0	OTHER	0.000360	0.999640	
Q8DNZ8	OTHER	0.001703	0.998297	
Q8DNZ9	OTHER	0.009511	0.990489	
Q8DP63	OTHER	0.004168	0.995832	
Q8DPI6	OTHER	0.060506	0.939494	
Q8DPL8	OTHER	0.002656	0.997344	
Q8DPQ3	OTHER	0.001650	0.998350	
Q8DQ15	OTHER	0.000534	0.999466	
Q8DQ36	OTHER	0.000731	0.999269	
Q8DQG4	OTHER	0.004548	0.995452	
Q8DR55	OTHER	0.000666	0.999334	
Q8DR59	OTHER	0.013300	0.986700	
Q8DR60	OTHER	0.316174	0.683826	
P0A307	OTHER	0.438157	0.561843	
P0A3C4	OTHER	0.001465	0.998535	
P0A3M6	OTHER	0.028563	0.971437	
P0A3N0	OTHER	0.001690	0.998310	
P0A452	OTHER	0.000846	0.999154	
P0A4D8	OTHER	0.002149	0.997851	
P59652	OTHER	0.250366	0.749634	
P59655	OTHER	0.000335	0.999665	
P59657	OTHER	0.000872	0.999128	
P59676	OTHER	0.001882	0.998118	
P63734	OTHER	0.002046	0.997954	
P64311	OTHER	0.001426	0.998574	
P65240	OTHER	0.000720	0.999280	
P65242	OTHER	0.000470	0.999530	
P65444	OTHER	0.021193	0.978807	
Q8CWN2	SP(Sec/SPI)	0.993429	0.006571	CS pos: 19-20. VAC-SN. Pr: 0.4117
Q8CWP9	OTHER	0.000606	0.999394	
Q8CWQ5	OTHER	0.000998	0.999002	
Q8CWR0	OTHER	0.008488	0.991512	
Q8DMY2	SP(Sec/SPI)	0.755322	0.244678	CS pos: 29-30. TYS-ST. Pr: 0.5660
Q8DN59	OTHER	0.020925	0.979075	
Q8DNE6	OTHER	0.000426	0.999574	
Q8DPA2	OTHER	0.001857	0.998143	
Q8DPI7	OTHER	0.000316	0.999684	
Q8DPJ8	OTHER	0.000302	0.999698	
Q8DPL7	OTHER	0.000347	0.999653	
Q8DPR6	OTHER	0.000630	0.999370	
Q8DQ00	OTHER	0.022076	0.977924	
Q8DQ18	OTHER	0.001373	0.998627	
Q8DQ33	OTHER	0.000421	0.999579	
Q8DQ37	OTHER	0.002043	0.997957	
Q8DQ92	OTHER	0.000629	0.999371	
Q8DQD0	OTHER	0.037114	0.962886	
Q8DQG7	OTHER	0.000979	0.999021	
Q8DQN5	SP(Sec/SPI)	0.841986	0.158014	CS pos: 33-34. VDA-AT. Pr: 0.8191
Q8DQV8	OTHER	0.000607	0.999393	
Q8DQY0	OTHER	0.006067	0.993933	
Q8DR03	OTHER	0.001538	0.998462	
Q8DR26	OTHER	0.000214	0.999786	
Q8DR77	OTHER	0.001047	0.998953	
Q8DRA8	OTHER	0.002922	0.997078	
Q8DRF1	OTHER	0.001113	0.998887	
Q8DRN3	OTHER	0.002003	0.997997	
C0HMA8	OTHER	0.008155	0.991845	
P0A2U9	OTHER	0.000610	0.999390	
P0A2V9	OTHER	0.000402	0.999598	
P0A2W1	OTHER	0.000400	0.999600	
P0A2W7	OTHER	0.001132	0.998868	
P0A2W9	OTHER	0.001914	0.998086	
P0A2X4	OTHER	0.002592	0.997408	
P0A2Y7	OTHER	0.005112	0.994888	
P0A2Y9	OTHER	0.000369	0.999631	
P0A2Z3	OTHER	0.013656	0.986344	
P0A2Z5	OTHER	0.000457	0.999543	
P0A336	OTHER	0.000643	0.999357	
P0A399	OTHER	0.000706	0.999294	
P0A3C6	OTHER	0.000605	0.999395	
P0A3R4	OTHER	0.000384	0.999616	
P0A3S4	SP(Sec/SPI)	0.640833	0.359167	CS pos: 22-23. TGS-YY. Pr: 0.3530
P0A3Y4	OTHER	0.001945	0.998055	
P0A454	OTHER	0.003671	0.996329	
P0A456	OTHER	0.000929	0.999071	
P0A4A8	OTHER	0.000402	0.999598	
P0A4H8	OTHER	0.000520	0.999480	
P0A4I6	OTHER	0.001618	0.998382	
P0A4J0	OTHER	0.000576	0.999424	
P0A4J7	OTHER	0.000940	0.999060	
P0A4M0	OTHER	0.000421	0.999579	
P0A4M6	OTHER	0.001405	0.998595	
P0A4S2	OTHER	0.001915	0.998085	
P0A4S4	OTHER	0.000324	0.999676	
P0A4T0	OTHER	0.000923	0.999077	
P0A4T2	OTHER	0.001114	0.998886	
P59200	OTHER	0.001062	0.998938	
P59202	OTHER	0.001796	0.998204	
