ID	Evidences length	Evidences list	Complete evidences
P0A4Q0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q59947	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYJ8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNB6	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNS0	1	PHOBIUS_TM	PHOBIUS_TM
Q8DP63	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPL8	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR55	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR59	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR60	1	PHOBIUS_TM	PHOBIUS_TM
P0A307	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0A3M6	1	PHOBIUS_TM	PHOBIUS_TM
P59652	1	PHOBIUS_TM	PHOBIUS_TM
P59676	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQN5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
C0HMA8	1	PHOBIUS_TM	PHOBIUS_TM
P0A2Y9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0A2Z3	1	PHOBIUS_TM	PHOBIUS_TM
P0A399	1	PHOBIUS_TM	PHOBIUS_TM
P0A4I6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P59653	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P60935	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P62576	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P64167	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q7CRA4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CY84	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYC9	1	PHOBIUS_TM	PHOBIUS_TM
Q8DMX7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN03	1	PHOBIUS_TM	PHOBIUS_TM
Q8DN90	1	PHOBIUS_TM	PHOBIUS_TM
Q8DN93	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNE1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNI6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNY1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DP14	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP20	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP72	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPA3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPE1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPG6	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPW6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ61	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQ64	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQC5	1	SL	SL
Q8DQH3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR34	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR69	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRE8	1	PHOBIUS_TM	PHOBIUS_TM
P0A3Q8	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
P0A4K5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0A4M8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0A4N0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0A4N2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P0A4N4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P59204	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P59654	1	PHOBIUS_TM	PHOBIUS_TM
Q8CWT6	1	PHOBIUS_TM	PHOBIUS_TM
Q8CWU3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYV3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ28	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ52	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMX8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMY1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMY3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMZ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN07	1	PHOBIUS_TM	PHOBIUS_TM
Q8DN12	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN13	1	PHOBIUS_TM	PHOBIUS_TM
Q8DN40	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN62	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN63	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN65	1	PHOBIUS_TM	PHOBIUS_TM
Q8DN70	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN72	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN94	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNA8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNC1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DND7	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNE7	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNF3	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q8DNF4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNJ9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
